"UID","participant","input_model","fitted_model","nLL","lambda","beta","tau","recency","surprise_plus","full_r","full_s","asymmetry","id","age_bin","education"
230,167,"NoMemory","recency",117.135729052485,0.516460836315745,-1.49304485148898,-3.32082822742548,-5.58947684685101,NA,NA,NA,NA,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",19.3749512401366,0.539439873347979,-1.55129376316769,-3.14551423603822,NA,-290.794560220093,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",35.2272044534651,0.539597990395698,-1.53699749228942,-3.16420278077942,NA,-707.973213468107,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",71.4176717751638,0.505409916415415,-1.36624191990427,-3.4362753893758,NA,10.6015960476636,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",97.3118256561931,0.648211986470749,-1.58380527139723,-3.20536489787672,NA,8.99473393652806,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",116.507716521457,0.513846890113532,-1.43498059438405,-3.52966588831187,NA,10.0299245320381,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",84.7050855055547,0.540521797205458,-1.37210495684345,-3.31039095495897,NA,-68.5264964319153,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
230,167,"NoMemory","surprise+",57.7320518333614,0.518757944970256,-1.35768502598852,-3.4066144225222,NA,9.2833028691521,NA,NA,1.42853635316555,167,"18-27","Graduate degree (MA/MSc/MPhil/other)"
231,168,"Memory","full",53.787658854315,-0.150452108811251,-1.23866966737208,-3.52825657693308,NA,NA,-862.588935689955,-914.107375442089,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","full",60.3059651391253,-0.0861351061824317,-1.3305773206438,-3.45409825064343,NA,NA,-128.963979677651,-15.8444660764953,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","full",67.1846826042579,-0.104599688976948,-1.24455217053722,-3.50527915689966,NA,NA,295.704088733438,-882.563880584513,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","full",88.8983694125224,-0.132488985178471,-1.27172215636453,-3.62980587342231,NA,NA,57.2552212623448,-345.81892239253,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","full",47.1087162114173,-0.154909289949754,-1.24349752140372,-3.51377966111708,NA,NA,-919.018823582231,-616.768503561616,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","full",79.3645937085124,-0.165286638684024,-1.21608902610355,-3.58857684286352,NA,NA,-654.452916682151,-627.542869688408,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","full",65.4605738331283,-0.140746958074174,-1.19119339392682,-3.538641316341,NA,NA,-566.098997456317,-793.241819172216,2.47024647891521,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",47.3144147015534,-0.165939942508851,-1.23573967105521,-3.59634473219701,-671.457814038973,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",80.5246360660093,-0.185921837416018,-1.18889353088281,-3.62428358424029,-508.246734912294,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",70.85778786834,-0.146120188717074,-1.16162100728949,-3.4890180470947,-488.750253555985,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",65.5446603621013,-0.108022643575403,-1.27535309176057,-3.52057527336996,-808.11684011964,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",89.6637886947328,-0.14515857094242,-1.25876123319288,-3.65935276527097,-4.69433948663954,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",54.2976601532784,-0.126076669721313,-1.26889682805143,-3.49066186350697,-772.883946209507,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",46.7749415490856,-0.111636468344193,-1.2612404143026,-3.49909979897064,NA,-799.198757391423,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",60.1886177453307,-0.0905720532513794,-1.30378068586121,-3.52504241454975,NA,-713.38561446333,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",68.8624998680671,-0.0490731993334124,-1.29960286989254,-3.4582811614499,NA,-61.6908088301595,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",88.347859178519,-0.154699843707413,-1.27055898888991,-3.61327425540958,NA,-937.265712955496,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","recency",59.5046745527218,-0.13638400328778,-1.27439848699735,-3.55608833870935,-538.700836696822,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",70.3614667448954,-0.148322454868591,-1.15999313094663,-3.50220434883141,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",59.6199201668433,-0.128505483510085,-1.27987812948497,-3.53652489563873,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",65.4124139787103,-0.109349751047154,-1.26864692347676,-3.51170731854866,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",88.1233018589387,-0.151860120662628,-1.25852279277031,-3.6208045295611,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",54.2671103396735,-0.125829368117626,-1.26577779956368,-3.49252665406072,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",54.8407215930511,-0.118087153770257,-1.30104341386251,-3.47452305424888,NA,-438.456776720625,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",79.5988926187085,-0.177216307967033,-1.21097887348112,-3.58467148978678,NA,-659.236806479464,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","surprise+",74.1898184520559,-0.147509741581862,-1.12689602189215,-3.5233797282249,NA,-563.070036895116,NA,NA,1.39209306867543,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",46.9582463836135,-0.156430125813274,-1.23092439761061,-3.56601011726952,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
231,168,"Memory","null",80.2747850197434,-0.178084290825397,-1.19329633572014,-3.61035582803028,NA,NA,NA,NA,NA,168,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","null",89.1411975849247,-0.430308193819608,-0.684063456340146,-3.77780465932281,NA,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
