"input_model","fitted_model","participant","nLL","lambda","beta","tau","recency","surprise_plus","asymmetry"
"recency","recency",14,116.57234777544,1.40278700893088,4.63549360814551,-8.57651077438362,210.260302854041,NA,NA
"recency","recency",14,116.582456996856,4.06120474074533,7.1191607030157,0.429788924424743,825.180792045193,NA,NA
"recency","recency",14,117.707931166644,2.23140552036368,5.34661943663157,-1.05306385335534,998.037244689675,NA,NA
"recency","recency",15,0.029982014387056,-6.00054456226438,-47.4145674868076,-9.99999999615184,412.530259229243,NA,NA
"recency","recency",15,0.029982014387056,-3.62611495932637,-44.9663246415513,-9.99999999997433,-568.646418840607,NA,NA
"recency","recency",15,0.029982014387056,-8.52495541662949,-46.1744178032471,-9.99999999961105,479.126084425426,NA,NA
"recency","recency",15,0.029982014387056,-8.9594060483409,-47.654075971602,-9.99999999153518,-275.990366066054,NA,NA
"recency","recency",15,66.4386265461072,-8.51281699184912,-48.1641045191128,-9.99999999888139,-963.918941294002,NA,NA
"recency","recency",15,66.4386269706509,-2.9820195581368,-46.3116709920151,-9.99999999059032,662.847394674068,NA,NA
"recency","recency",15,0.029982014387056,-4.90286599176302,-35.2559965398022,-9.99999999827272,271.883585765477,NA,NA
"recency","recency",16,119.492208417863,7.17579973395914,11.0968583961949,-5.7986318371095,-934.459469845123,NA,NA
"recency","recency",16,120.261430684368,3.41709132335927,5.36492876590714,4.12128890683236,849.62864776326,NA,NA
"recency","recency",16,120.091497086981,-4.80055680595642,-35.007404557867,-0.484503404796927,12.9153562592126,NA,NA
"recency","recency",16,121.059989778561,-0.320165875511363,-1.82305995515733,-1.67143586085165,145.690622193366,NA,NA
"recency","recency",16,120.561677866881,8.71885911584643,-43.3766684811291,-8.43151194409386,93.1902839431949,NA,NA
"recency","recency",16,121.718675810815,3.29752499237657,5.15180820305147,3.92709117815266,485.524186077903,NA,NA
"recency","recency",16,119.689132073878,6.41639377824189,8.07331358676936,3.95628469495133,498.645145272585,NA,NA
"recency","recency",17,120.326520000085,6.41033252627599,-2.03651149500021,-6.47921074479972,214.45760157146,NA,NA
"recency","recency",17,120.29117262345,7.00403860588802,0.227356414441704,-5.19979137608337,125.40668876314,NA,NA
"recency","recency",17,120.237886115124,7.90331399793521,-1.43673622693203,-8.41199260607671,135.40148012156,NA,NA
"recency","recency",17,119.694198430757,1.69802478259267,9.95031687461734,-9.79396815102031,-584.222688162203,NA,NA
"recency","recency",17,119.303907663001,6.0412133443183,-1.95276086380855,-5.86328786797822,185.67055553417,NA,NA
